2025-08-29T13:13:27+01:00  13:13:27 up 11 days, 23:59,  1 user,  load average: 0.73, 7.60, 14.75
2025-08-29T13:53:33+01:00  13:53:33 up 12 days, 39 min,  1 user,  load average: 15.39, 14.53, 13.18
2025-08-29T13:53:38+01:00  13:53:38 up 12 days, 39 min,  1 user,  load average: 15.92, 14.65, 13.23
2025-08-29T13:53:43+01:00  13:53:43 up 12 days, 39 min,  1 user,  load average: 16.09, 14.71, 13.25
2025-08-29T13:53:48+01:00  13:53:48 up 12 days, 39 min,  1 user,  load average: 17.04, 14.93, 13.33
2025-08-29T13:53:53+01:00  13:53:53 up 12 days, 39 min,  1 user,  load average: 17.28, 15.01, 13.37
2025-08-29T13:53:58+01:00  13:53:58 up 12 days, 39 min,  1 user,  load average: 18.62, 15.33, 13.48
2025-08-29T13:54:03+01:00  13:54:03 up 12 days, 39 min,  1 user,  load average: 18.09, 15.27, 13.47
2025-08-29T13:54:08+01:00  13:54:08 up 12 days, 39 min,  1 user,  load average: 18.40, 15.38, 13.52
2025-08-29T13:54:13+01:00  13:54:13 up 12 days, 39 min,  1 user,  load average: 18.69, 15.49, 13.56
2025-08-29T13:54:18+01:00  13:54:18 up 12 days, 39 min,  1 user,  load average: 17.83, 15.37, 13.53
2025-08-29T13:54:23+01:00  13:54:23 up 12 days, 39 min,  1 user,  load average: 16.89, 15.21, 13.49
2025-08-29T13:54:28+01:00  13:54:29 up 12 days, 40 min,  1 user,  load average: 17.30, 15.33, 13.54
2025-08-29T13:54:34+01:00  13:54:34 up 12 days, 40 min,  1 user,  load average: 16.71, 15.24, 13.52
2025-08-29T13:54:39+01:00  13:54:39 up 12 days, 40 min,  1 user,  load average: 15.85, 15.08, 13.48
2025-08-29T13:54:44+01:00  13:54:44 up 12 days, 40 min,  1 user,  load average: 16.19, 15.17, 13.51
2025-08-29T13:54:49+01:00  13:54:49 up 12 days, 40 min,  1 user,  load average: 15.93, 15.13, 13.51
2025-08-29T13:54:54+01:00  13:54:54 up 12 days, 40 min,  1 user,  load average: 17.14, 15.39, 13.60
2025-08-29T13:54:59+01:00  13:54:59 up 12 days, 40 min,  1 user,  load average: 16.97, 15.39, 13.61
2025-08-29T13:55:04+01:00  13:55:04 up 12 days, 40 min,  1 user,  load average: 15.93, 15.20, 13.56
2025-08-29T13:55:09+01:00  13:55:09 up 12 days, 40 min,  1 user,  load average: 15.37, 15.09, 13.54
2025-08-29T13:55:14+01:00  13:55:14 up 12 days, 40 min,  1 user,  load average: 15.66, 15.16, 13.57
2025-08-29T13:55:19+01:00  13:55:19 up 12 days, 40 min,  1 user,  load average: 15.29, 15.09, 13.55
2025-08-29T13:55:24+01:00  13:55:24 up 12 days, 40 min,  1 user,  load average: 17.19, 15.49, 13.69
2025-08-29T13:55:29+01:00  13:55:29 up 12 days, 41 min,  1 user,  load average: 17.25, 15.53, 13.71
2025-08-29T13:55:34+01:00  13:55:34 up 12 days, 41 min,  1 user,  load average: 18.11, 15.74, 13.79
2025-08-29T13:55:39+01:00  13:55:39 up 12 days, 41 min,  1 user,  load average: 17.54, 15.66, 13.77
2025-08-29T13:55:44+01:00  13:55:44 up 12 days, 41 min,  1 user,  load average: 20.30, 16.26, 13.98
2025-08-29T13:55:49+01:00  13:55:49 up 12 days, 41 min,  1 user,  load average: 19.64, 16.19, 13.97
2025-08-29T13:55:54+01:00  13:55:54 up 12 days, 41 min,  1 user,  load average: 18.55, 16.02, 13.93
2025-08-29T13:55:59+01:00  13:55:59 up 12 days, 41 min,  1 user,  load average: 18.42, 16.04, 13.94
2025-08-29T13:56:04+01:00  13:56:04 up 12 days, 41 min,  1 user,  load average: 18.31, 16.05, 13.96
2025-08-29T13:56:09+01:00  13:56:09 up 12 days, 41 min,  1 user,  load average: 20.29, 16.50, 14.11
2025-08-29T13:56:14+01:00  13:56:14 up 12 days, 41 min,  1 user,  load average: 20.66, 16.64, 14.17
2025-08-29T13:56:19+01:00  13:56:19 up 12 days, 41 min,  1 user,  load average: 19.89, 16.55, 14.16
2025-08-29T13:56:24+01:00  13:56:24 up 12 days, 41 min,  1 user,  load average: 20.38, 16.70, 14.22
2025-08-29T13:56:29+01:00  13:56:29 up 12 days, 42 min,  1 user,  load average: 21.47, 16.99, 14.33
2025-08-29T13:56:34+01:00  13:56:34 up 12 days, 42 min,  1 user,  load average: 22.15, 17.21, 14.41
2025-08-29T13:56:39+01:00  13:56:39 up 12 days, 42 min,  1 user,  load average: 22.38, 17.34, 14.47
2025-08-29T13:56:44+01:00  13:56:44 up 12 days, 42 min,  1 user,  load average: 21.31, 17.20, 14.44
2025-08-29T13:56:49+01:00  13:56:49 up 12 days, 42 min,  1 user,  load average: 20.72, 17.15, 14.44
2025-08-29T13:56:54+01:00  13:56:54 up 12 days, 42 min,  1 user,  load average: 21.71, 17.41, 14.54
2025-08-29T13:56:59+01:00  13:56:59 up 12 days, 42 min,  1 user,  load average: 21.01, 17.34, 14.53
2025-08-29T13:57:04+01:00  13:57:04 up 12 days, 42 min,  1 user,  load average: 21.65, 17.53, 14.61
2025-08-29T13:57:09+01:00  13:57:09 up 12 days, 42 min,  1 user,  load average: 21.76, 17.62, 14.65
2025-08-29T13:57:14+01:00  13:57:14 up 12 days, 42 min,  1 user,  load average: 22.50, 17.84, 14.74
2025-08-29T13:57:19+01:00  13:57:19 up 12 days, 42 min,  1 user,  load average: 21.58, 17.73, 14.72
2025-08-29T13:57:24+01:00  13:57:24 up 12 days, 43 min,  1 user,  load average: 20.41, 17.55, 14.68
2025-08-29T13:57:29+01:00  13:57:29 up 12 days, 43 min,  1 user,  load average: 20.30, 17.58, 14.70
2025-08-29T13:57:34+01:00  13:57:34 up 12 days, 43 min,  1 user,  load average: 20.03, 17.57, 14.71
2025-08-29T13:57:39+01:00  13:57:39 up 12 days, 43 min,  1 user,  load average: 20.83, 17.77, 14.80
2025-08-29T13:57:44+01:00  13:57:44 up 12 days, 43 min,  1 user,  load average: 20.85, 17.83, 14.83
2025-08-29T13:57:50+01:00  13:57:50 up 12 days, 43 min,  1 user,  load average: 20.94, 17.90, 14.87
2025-08-29T13:57:55+01:00  13:57:55 up 12 days, 43 min,  1 user,  load average: 21.58, 18.08, 14.94
2025-08-29T13:58:00+01:00  13:58:00 up 12 days, 43 min,  1 user,  load average: 21.38, 18.10, 14.97
2025-08-29T13:58:05+01:00  13:58:05 up 12 days, 43 min,  1 user,  load average: 20.07, 17.88, 14.91
2025-08-29T13:58:10+01:00  13:58:10 up 12 days, 43 min,  1 user,  load average: 21.74, 18.26, 15.05
2025-08-29T13:58:15+01:00  13:58:15 up 12 days, 43 min,  1 user,  load average: 20.80, 18.13, 15.03
2025-08-29T13:58:20+01:00  13:58:20 up 12 days, 43 min,  1 user,  load average: 19.46, 17.89, 14.97
2025-08-29T13:58:25+01:00  13:58:25 up 12 days, 44 min,  1 user,  load average: 18.62, 17.74, 14.93
2025-08-29T13:58:30+01:00  13:58:30 up 12 days, 44 min,  1 user,  load average: 18.57, 17.75, 14.95
2025-08-29T13:58:35+01:00  13:58:35 up 12 days, 44 min,  1 user,  load average: 17.80, 17.60, 14.92
2025-08-29T13:58:40+01:00  13:58:40 up 12 days, 44 min,  1 user,  load average: 18.22, 17.69, 14.96
2025-08-29T13:58:45+01:00  13:58:45 up 12 days, 44 min,  1 user,  load average: 18.76, 17.81, 15.02
2025-08-29T13:58:50+01:00  13:58:50 up 12 days, 44 min,  1 user,  load average: 18.78, 17.83, 15.04
2025-08-29T13:58:55+01:00  13:58:55 up 12 days, 44 min,  1 user,  load average: 18.40, 17.77, 15.03
2025-08-29T13:59:00+01:00  13:59:00 up 12 days, 44 min,  1 user,  load average: 17.56, 17.61, 14.99
2025-08-29T13:59:05+01:00  13:59:05 up 12 days, 44 min,  1 user,  load average: 16.32, 17.35, 14.92
2025-08-29T13:59:10+01:00  13:59:10 up 12 days, 44 min,  1 user,  load average: 16.21, 17.31, 14.92
2025-08-29T13:59:15+01:00  13:59:15 up 12 days, 44 min,  1 user,  load average: 16.92, 17.44, 14.98
2025-08-29T13:59:20+01:00  13:59:20 up 12 days, 44 min,  1 user,  load average: 16.68, 17.38, 14.97
2025-08-29T13:59:25+01:00  13:59:25 up 12 days, 45 min,  1 user,  load average: 15.43, 17.11, 14.90
2025-08-29T13:59:30+01:00  13:59:30 up 12 days, 45 min,  1 user,  load average: 16.11, 17.22, 14.95
2025-08-29T13:59:35+01:00  13:59:35 up 12 days, 45 min,  1 user,  load average: 17.39, 17.47, 15.04
2025-08-29T13:59:40+01:00  13:59:40 up 12 days, 45 min,  1 user,  load average: 16.87, 17.36, 15.02
2025-08-29T13:59:45+01:00  13:59:45 up 12 days, 45 min,  1 user,  load average: 18.33, 17.65, 15.12
2025-08-29T13:59:50+01:00  13:59:50 up 12 days, 45 min,  1 user,  load average: 17.74, 17.54, 15.10
2025-08-29T13:59:55+01:00  13:59:55 up 12 days, 45 min,  1 user,  load average: 16.72, 17.33, 15.05
2025-08-29T14:00:00+01:00  14:00:00 up 12 days, 45 min,  1 user,  load average: 16.90, 17.36, 15.07
2025-08-29T14:00:05+01:00  14:00:05 up 12 days, 45 min,  1 user,  load average: 16.19, 17.21, 15.03
2025-08-29T14:00:10+01:00  14:00:10 up 12 days, 45 min,  1 user,  load average: 16.89, 17.34, 15.08
2025-08-29T14:00:15+01:00  14:00:15 up 12 days, 45 min,  1 user,  load average: 15.94, 17.13, 15.03
2025-08-29T14:00:20+01:00  14:00:20 up 12 days, 45 min,  1 user,  load average: 16.83, 17.29, 15.09
2025-08-29T14:00:25+01:00  14:00:25 up 12 days, 46 min,  1 user,  load average: 17.56, 17.44, 15.15
2025-08-29T14:00:30+01:00  14:00:30 up 12 days, 46 min,  1 user,  load average: 17.12, 17.35, 15.14
2025-08-29T14:00:35+01:00  14:00:35 up 12 days, 46 min,  1 user,  load average: 16.39, 17.19, 15.10
2025-08-29T14:00:40+01:00  14:00:40 up 12 days, 46 min,  1 user,  load average: 16.20, 17.14, 15.09
2025-08-29T14:00:45+01:00  14:00:45 up 12 days, 46 min,  1 user,  load average: 15.54, 16.99, 15.05
2025-08-29T14:00:50+01:00  14:00:50 up 12 days, 46 min,  1 user,  load average: 16.14, 17.09, 15.10
2025-08-29T14:00:55+01:00  14:00:55 up 12 days, 46 min,  1 user,  load average: 14.84, 16.80, 15.01
2025-08-29T14:01:00+01:00  14:01:00 up 12 days, 46 min,  1 user,  load average: 15.26, 16.86, 15.04
2025-08-29T14:01:05+01:00  14:01:05 up 12 days, 46 min,  1 user,  load average: 14.68, 16.71, 15.00
2025-08-29T14:01:10+01:00  14:01:10 up 12 days, 46 min,  1 user,  load average: 15.02, 16.75, 15.02
2025-08-29T14:01:16+01:00  14:01:16 up 12 days, 46 min,  1 user,  load average: 15.66, 16.85, 15.07
2025-08-29T14:01:21+01:00  14:01:21 up 12 days, 46 min,  1 user,  load average: 15.61, 16.82, 15.07
2025-08-29T14:01:26+01:00  14:01:26 up 12 days, 47 min,  1 user,  load average: 17.32, 17.16, 15.18
2025-08-29T14:01:31+01:00  14:01:31 up 12 days, 47 min,  1 user,  load average: 16.01, 16.89, 15.11
2025-08-29T14:01:36+01:00  14:01:36 up 12 days, 47 min,  1 user,  load average: 14.89, 16.64, 15.04
2025-08-29T14:01:41+01:00  14:01:41 up 12 days, 47 min,  1 user,  load average: 14.74, 16.58, 15.03
2025-08-29T14:01:46+01:00  14:01:46 up 12 days, 47 min,  1 user,  load average: 15.00, 16.60, 15.04
2025-08-29T14:01:51+01:00  14:01:51 up 12 days, 47 min,  1 user,  load average: 15.96, 16.78, 15.11
2025-08-29T14:01:56+01:00  14:01:56 up 12 days, 47 min,  1 user,  load average: 15.88, 16.75, 15.11
2025-08-29T14:02:01+01:00  14:02:01 up 12 days, 47 min,  1 user,  load average: 16.05, 16.77, 15.12
2025-08-29T14:02:06+01:00  14:02:06 up 12 days, 47 min,  1 user,  load average: 17.65, 17.09, 15.23
2025-08-29T14:02:11+01:00  14:02:11 up 12 days, 47 min,  1 user,  load average: 16.96, 16.95, 15.20
2025-08-29T14:02:16+01:00  14:02:16 up 12 days, 47 min,  1 user,  load average: 17.76, 17.12, 15.26
2025-08-29T14:02:21+01:00  14:02:21 up 12 days, 47 min,  1 user,  load average: 17.38, 17.05, 15.25
2025-08-29T14:02:26+01:00  14:02:26 up 12 days, 48 min,  1 user,  load average: 16.86, 16.95, 15.24
2025-08-29T14:02:31+01:00  14:02:31 up 12 days, 48 min,  1 user,  load average: 17.35, 17.05, 15.28
2025-08-29T14:02:36+01:00  14:02:36 up 12 days, 48 min,  1 user,  load average: 17.97, 17.18, 15.33
2025-08-29T14:02:41+01:00  14:02:41 up 12 days, 48 min,  1 user,  load average: 16.85, 16.96, 15.27
2025-08-29T14:02:46+01:00  14:02:46 up 12 days, 48 min,  1 user,  load average: 16.86, 16.96, 15.28
2025-08-29T14:02:51+01:00  14:02:51 up 12 days, 48 min,  1 user,  load average: 18.79, 17.36, 15.42
2025-08-29T14:02:56+01:00  14:02:56 up 12 days, 48 min,  1 user,  load average: 18.25, 17.27, 15.40
2025-08-29T14:03:01+01:00  14:03:01 up 12 days, 48 min,  1 user,  load average: 17.91, 17.22, 15.39
2025-08-29T14:03:06+01:00  14:03:06 up 12 days, 48 min,  1 user,  load average: 16.95, 17.03, 15.34
2025-08-29T14:03:11+01:00  14:03:11 up 12 days, 48 min,  1 user,  load average: 16.56, 16.95, 15.32
2025-08-29T14:03:16+01:00  14:03:16 up 12 days, 48 min,  1 user,  load average: 15.95, 16.82, 15.29
2025-08-29T14:03:21+01:00  14:03:21 up 12 days, 48 min,  1 user,  load average: 17.24, 17.07, 15.38
2025-08-29T14:03:26+01:00  14:03:26 up 12 days, 49 min,  1 user,  load average: 17.22, 17.07, 15.39
2025-08-29T14:03:31+01:00  14:03:31 up 12 days, 49 min,  1 user,  load average: 18.40, 17.32, 15.48
2025-08-29T14:03:36+01:00  14:03:36 up 12 days, 49 min,  1 user,  load average: 16.93, 17.03, 15.39
2025-08-29T14:03:41+01:00  14:03:41 up 12 days, 49 min,  1 user,  load average: 17.01, 17.05, 15.41
2025-08-29T14:03:46+01:00  14:03:46 up 12 days, 49 min,  1 user,  load average: 16.77, 16.99, 15.40
2025-08-29T14:03:51+01:00  14:03:51 up 12 days, 49 min,  1 user,  load average: 17.59, 17.16, 15.46
2025-08-29T14:03:56+01:00  14:03:56 up 12 days, 49 min,  1 user,  load average: 17.22, 17.09, 15.45
2025-08-29T14:04:01+01:00  14:04:01 up 12 days, 49 min,  1 user,  load average: 17.21, 17.09, 15.46
2025-08-29T14:04:06+01:00  14:04:06 up 12 days, 49 min,  1 user,  load average: 17.67, 17.19, 15.50
2025-08-29T14:04:11+01:00  14:04:11 up 12 days, 49 min,  1 user,  load average: 17.54, 17.17, 15.50
2025-08-29T14:04:16+01:00  14:04:16 up 12 days, 49 min,  1 user,  load average: 17.09, 17.08, 15.48
2025-08-29T14:04:21+01:00  14:04:21 up 12 days, 49 min,  1 user,  load average: 17.49, 17.16, 15.52
2025-08-29T14:04:26+01:00  14:04:26 up 12 days, 50 min,  1 user,  load average: 18.49, 17.38, 15.60
2025-08-29T14:04:31+01:00  14:04:31 up 12 days, 50 min,  1 user,  load average: 19.25, 17.55, 15.66
2025-08-29T14:04:36+01:00  14:04:36 up 12 days, 50 min,  1 user,  load average: 18.59, 17.45, 15.64
2025-08-29T14:04:41+01:00  14:04:41 up 12 days, 50 min,  1 user,  load average: 17.66, 17.27, 15.59
2025-08-29T14:04:46+01:00  14:04:46 up 12 days, 50 min,  1 user,  load average: 18.33, 17.42, 15.65
2025-08-29T14:04:51+01:00  14:04:51 up 12 days, 50 min,  1 user,  load average: 18.86, 17.54, 15.70
2025-08-29T14:04:56+01:00  14:04:56 up 12 days, 50 min,  1 user,  load average: 18.07, 17.40, 15.66
2025-08-29T14:05:01+01:00  14:05:01 up 12 days, 50 min,  1 user,  load average: 17.51, 17.29, 15.64
2025-08-29T14:05:06+01:00  14:05:06 up 12 days, 50 min,  1 user,  load average: 17.31, 17.26, 15.63
2025-08-29T14:05:11+01:00  14:05:11 up 12 days, 50 min,  1 user,  load average: 18.24, 17.45, 15.70
2025-08-29T14:05:17+01:00  14:05:17 up 12 days, 50 min,  1 user,  load average: 17.02, 17.21, 15.64
2025-08-29T14:05:22+01:00  14:05:22 up 12 days, 50 min,  1 user,  load average: 20.46, 17.92, 15.87
2025-08-29T14:05:27+01:00  14:05:27 up 12 days, 51 min,  1 user,  load average: 19.95, 17.86, 15.86
2025-08-29T14:05:32+01:00  14:05:32 up 12 days, 51 min,  1 user,  load average: 20.27, 17.96, 15.91
2025-08-29T14:05:37+01:00  14:05:37 up 12 days, 51 min,  1 user,  load average: 19.77, 17.89, 15.90
2025-08-29T14:05:42+01:00  14:05:42 up 12 days, 51 min,  1 user,  load average: 21.31, 18.24, 16.02
2025-08-29T14:05:47+01:00  14:05:47 up 12 days, 51 min,  1 user,  load average: 20.24, 18.07, 15.98
2025-08-29T14:05:52+01:00  14:05:52 up 12 days, 51 min,  1 user,  load average: 19.50, 17.95, 15.95
2025-08-29T14:05:57+01:00  14:05:57 up 12 days, 51 min,  1 user,  load average: 18.02, 17.67, 15.87
2025-08-29T14:06:02+01:00  14:06:02 up 12 days, 51 min,  1 user,  load average: 20.74, 18.24, 16.07
2025-08-29T14:06:07+01:00  14:06:07 up 12 days, 51 min,  1 user,  load average: 19.80, 18.09, 16.03
2025-08-29T14:06:12+01:00  14:06:12 up 12 days, 51 min,  1 user,  load average: 19.34, 18.02, 16.02
2025-08-29T14:06:17+01:00  14:06:17 up 12 days, 51 min,  1 user,  load average: 18.59, 17.89, 15.98
2025-08-29T14:06:22+01:00  14:06:22 up 12 days, 51 min,  1 user,  load average: 18.14, 17.81, 15.97
2025-08-29T14:06:27+01:00  14:06:27 up 12 days, 52 min,  1 user,  load average: 18.29, 17.84, 15.99
2025-08-29T14:06:32+01:00  14:06:32 up 12 days, 52 min,  1 user,  load average: 18.35, 17.86, 16.01
2025-08-29T14:06:37+01:00  14:06:37 up 12 days, 52 min,  1 user,  load average: 17.44, 17.68, 15.96
2025-08-29T14:06:42+01:00  14:06:42 up 12 days, 52 min,  1 user,  load average: 17.56, 17.70, 15.97
2025-08-29T14:06:47+01:00  14:06:47 up 12 days, 52 min,  1 user,  load average: 18.24, 17.84, 16.03
2025-08-29T14:06:52+01:00  14:06:52 up 12 days, 52 min,  1 user,  load average: 18.38, 17.88, 16.05
2025-08-29T14:06:57+01:00  14:06:57 up 12 days, 52 min,  1 user,  load average: 17.15, 17.63, 15.98
2025-08-29T14:07:02+01:00  14:07:02 up 12 days, 52 min,  1 user,  load average: 17.38, 17.67, 16.00
2025-08-29T14:07:07+01:00  14:07:07 up 12 days, 52 min,  1 user,  load average: 16.95, 17.58, 15.98
2025-08-29T14:07:12+01:00  14:07:12 up 12 days, 52 min,  1 user,  load average: 18.15, 17.82, 16.07
2025-08-29T14:07:17+01:00  14:07:17 up 12 days, 52 min,  1 user,  load average: 17.10, 17.60, 16.01
2025-08-29T14:07:22+01:00  14:07:22 up 12 days, 52 min,  1 user,  load average: 17.41, 17.66, 16.03
2025-08-29T14:07:27+01:00  14:07:27 up 12 days, 53 min,  1 user,  load average: 18.02, 17.78, 16.08
2025-08-29T14:07:32+01:00  14:07:32 up 12 days, 53 min,  1 user,  load average: 21.06, 18.42, 16.30
2025-08-29T14:07:37+01:00  14:07:37 up 12 days, 53 min,  1 user,  load average: 21.54, 18.56, 16.35
2025-08-29T14:07:42+01:00  14:07:42 up 12 days, 53 min,  1 user,  load average: 22.21, 18.75, 16.43
2025-08-29T14:07:47+01:00  14:07:47 up 12 days, 53 min,  1 user,  load average: 21.96, 18.75, 16.44
2025-08-29T14:07:52+01:00  14:07:52 up 12 days, 53 min,  1 user,  load average: 22.76, 18.97, 16.53
2025-08-29T14:07:57+01:00  14:07:57 up 12 days, 53 min,  1 user,  load average: 21.50, 18.77, 16.47
2025-08-29T14:08:02+01:00  14:08:02 up 12 days, 53 min,  1 user,  load average: 23.86, 19.31, 16.66
2025-08-29T14:08:07+01:00  14:08:07 up 12 days, 53 min,  1 user,  load average: 23.23, 19.25, 16.66
2025-08-29T14:08:12+01:00  14:08:12 up 12 days, 53 min,  1 user,  load average: 24.41, 19.57, 16.77
2025-08-29T14:08:17+01:00  14:08:17 up 12 days, 53 min,  1 user,  load average: 23.42, 19.44, 16.75
2025-08-29T14:08:22+01:00  14:08:22 up 12 days, 53 min,  1 user,  load average: 23.39, 19.50, 16.78
2025-08-29T14:08:27+01:00  14:08:27 up 12 days, 54 min,  1 user,  load average: 23.44, 19.57, 16.82
2025-08-29T14:08:33+01:00  14:08:33 up 12 days, 54 min,  1 user,  load average: 23.08, 19.56, 16.83
2025-08-29T14:08:38+01:00  14:08:38 up 12 days, 54 min,  1 user,  load average: 21.47, 19.29, 16.76
2025-08-29T14:08:43+01:00  14:08:43 up 12 days, 54 min,  1 user,  load average: 22.00, 19.43, 16.82
2025-08-29T14:08:48+01:00  14:08:48 up 12 days, 54 min,  1 user,  load average: 22.00, 19.48, 16.84
2025-08-29T14:08:53+01:00  14:08:53 up 12 days, 54 min,  1 user,  load average: 22.72, 19.67, 16.92
2025-08-29T14:08:58+01:00  14:08:58 up 12 days, 54 min,  1 user,  load average: 23.54, 19.89, 17.01
2025-08-29T14:09:03+01:00  14:09:03 up 12 days, 54 min,  1 user,  load average: 24.94, 20.24, 17.14
2025-08-29T14:09:08+01:00  14:09:08 up 12 days, 54 min,  1 user,  load average: 24.14, 20.15, 17.12
2025-08-29T14:09:13+01:00  14:09:13 up 12 days, 54 min,  1 user,  load average: 23.97, 20.18, 17.15
2025-08-29T14:09:18+01:00  14:09:18 up 12 days, 54 min,  1 user,  load average: 24.29, 20.31, 17.21
2025-08-29T14:09:23+01:00  14:09:23 up 12 days, 54 min,  1 user,  load average: 24.03, 20.33, 17.23
2025-08-29T14:09:28+01:00  14:09:28 up 12 days, 55 min,  1 user,  load average: 23.39, 20.25, 17.22
2025-08-29T14:09:33+01:00  14:09:33 up 12 days, 55 min,  1 user,  load average: 24.08, 20.45, 17.30
2025-08-29T14:09:38+01:00  14:09:38 up 12 days, 55 min,  1 user,  load average: 23.83, 20.46, 17.32
2025-08-29T14:09:43+01:00  14:09:43 up 12 days, 55 min,  1 user,  load average: 25.45, 20.85, 17.47
2025-08-29T14:09:48+01:00  14:09:48 up 12 days, 55 min,  1 user,  load average: 25.65, 20.97, 17.52
2025-08-29T14:09:53+01:00  14:09:53 up 12 days, 55 min,  1 user,  load average: 26.40, 21.20, 17.62
2025-08-29T14:09:58+01:00  14:09:58 up 12 days, 55 min,  1 user,  load average: 26.29, 21.27, 17.66
2025-08-29T14:10:03+01:00  14:10:03 up 12 days, 55 min,  1 user,  load average: 26.82, 21.46, 17.74
2025-08-29T14:10:08+01:00  14:10:08 up 12 days, 55 min,  1 user,  load average: 27.40, 21.67, 17.83
2025-08-29T14:10:13+01:00  14:10:13 up 12 days, 55 min,  1 user,  load average: 26.57, 21.59, 17.82
2025-08-29T14:10:18+01:00  14:10:18 up 12 days, 55 min,  1 user,  load average: 25.72, 21.50, 17.81
2025-08-29T14:10:23+01:00  14:10:23 up 12 days, 55 min,  1 user,  load average: 25.34, 21.49, 17.83
2025-08-29T14:10:28+01:00  14:10:28 up 12 days, 56 min,  1 user,  load average: 24.83, 21.45, 17.84
2025-08-29T14:10:34+01:00  14:10:34 up 12 days, 56 min,  1 user,  load average: 26.61, 21.87, 17.99
2025-08-29T14:10:39+01:00  14:10:39 up 12 days, 56 min,  1 user,  load average: 26.56, 21.94, 18.04
2025-08-29T14:10:44+01:00  14:10:44 up 12 days, 56 min,  1 user,  load average: 27.56, 22.22, 18.15
2025-08-29T14:10:49+01:00  14:10:49 up 12 days, 56 min,  1 user,  load average: 26.87, 22.17, 18.15
2025-08-29T14:10:54+01:00  14:10:54 up 12 days, 56 min,  1 user,  load average: 27.28, 22.33, 18.23
2025-08-29T14:10:59+01:00  14:10:59 up 12 days, 56 min,  1 user,  load average: 27.18, 22.40, 18.27
2025-08-29T14:11:04+01:00  14:11:04 up 12 days, 56 min,  1 user,  load average: 27.41, 22.52, 18.33
2025-08-29T14:11:09+01:00  14:11:09 up 12 days, 56 min,  1 user,  load average: 27.05, 22.53, 18.36
2025-08-29T14:11:14+01:00  14:11:14 up 12 days, 56 min,  1 user,  load average: 24.97, 22.17, 18.27
2025-08-29T14:11:19+01:00  14:11:19 up 12 days, 56 min,  1 user,  load average: 24.65, 22.15, 18.28
2025-08-29T14:11:24+01:00  14:11:24 up 12 days, 56 min,  1 user,  load average: 25.16, 22.30, 18.35
2025-08-29T14:11:29+01:00  14:11:29 up 12 days, 57 min,  1 user,  load average: 24.42, 22.19, 18.34
2025-08-29T14:11:34+01:00  14:11:34 up 12 days, 57 min,  1 user,  load average: 24.39, 22.22, 18.37
2025-08-29T14:11:39+01:00  14:11:39 up 12 days, 57 min,  1 user,  load average: 23.88, 22.15, 18.36
2025-08-29T14:11:44+01:00  14:11:44 up 12 days, 57 min,  1 user,  load average: 24.69, 22.35, 18.45
2025-08-29T14:11:49+01:00  14:11:49 up 12 days, 57 min,  1 user,  load average: 23.99, 22.25, 18.44
2025-08-29T14:11:54+01:00  14:11:54 up 12 days, 57 min,  1 user,  load average: 26.00, 22.69, 18.60
2025-08-29T14:11:59+01:00  14:11:59 up 12 days, 57 min,  1 user,  load average: 27.20, 22.99, 18.72
2025-08-29T14:12:04+01:00  14:12:04 up 12 days, 57 min,  1 user,  load average: 29.34, 23.51, 18.91
2025-08-29T14:12:09+01:00  14:12:09 up 12 days, 57 min,  1 user,  load average: 28.52, 23.43, 18.91
2025-08-29T14:12:14+01:00  14:12:14 up 12 days, 57 min,  1 user,  load average: 26.95, 23.19, 18.86
2025-08-29T14:12:19+01:00  14:12:19 up 12 days, 57 min,  1 user,  load average: 25.19, 22.89, 18.78
2025-08-29T14:12:24+01:00  14:12:24 up 12 days, 58 min,  1 user,  load average: 25.98, 23.09, 18.87
2025-08-29T14:12:29+01:00  14:12:29 up 12 days, 58 min,  1 user,  load average: 25.58, 23.06, 18.88
2025-08-29T14:12:34+01:00  14:12:34 up 12 days, 58 min,  1 user,  load average: 25.37, 23.06, 18.90
2025-08-29T14:12:39+01:00  14:12:39 up 12 days, 58 min,  1 user,  load average: 24.30, 22.87, 18.87
2025-08-29T14:12:45+01:00  14:12:45 up 12 days, 58 min,  1 user,  load average: 23.40, 22.71, 18.84
2025-08-29T14:12:50+01:00  14:12:50 up 12 days, 58 min,  1 user,  load average: 22.56, 22.55, 18.80
2025-08-29T14:12:55+01:00  14:12:55 up 12 days, 58 min,  1 user,  load average: 22.76, 22.59, 18.84
2025-08-29T14:13:00+01:00  14:13:00 up 12 days, 58 min,  1 user,  load average: 23.50, 22.75, 18.91
2025-08-29T14:13:05+01:00  14:13:05 up 12 days, 58 min,  1 user,  load average: 24.10, 22.88, 18.97
2025-08-29T14:13:10+01:00  14:13:10 up 12 days, 58 min,  1 user,  load average: 24.25, 22.93, 19.01
2025-08-29T14:13:15+01:00  14:13:15 up 12 days, 58 min,  1 user,  load average: 23.99, 22.90, 19.02
2025-08-29T14:13:20+01:00  14:13:20 up 12 days, 58 min,  1 user,  load average: 23.75, 22.87, 19.03
2025-08-29T14:13:25+01:00  14:13:25 up 12 days, 59 min,  1 user,  load average: 22.49, 22.62, 18.97
2025-08-29T14:13:30+01:00  14:13:30 up 12 days, 59 min,  1 user,  load average: 20.77, 22.26, 18.88
2025-08-29T14:13:35+01:00  14:13:35 up 12 days, 59 min,  1 user,  load average: 20.31, 22.14, 18.86
